  33.2  3.5   9  6.1  0.184
  40.3  5.3  20  6.4  0.059
  38.7  5.1  18  7.4  0.132
  46.8  5.8  33  6.7  0.071
  41.4  4.2  31  7.5  0.214
  37.5  6.0  13  5.9  0.146
  39.0  6.8  25  6.0  0.115
  40.7  5.5  30  4.0  0.179
  30.1  3.1   5  5.8  0.241
  52.9  7.2  47  8.3  0.288
  38.2  4.5  25  5.0  0.083
  31.8  4.9  11  6.4  0.128
  43.3  8.0  23  7.6  0.320
  44.1  6.5  35  7.0  0.098
  42.8  6.6  39  5.0  0.186
  33.6  3.7  21  4.4  0.151
  34.2  6.2   7  5.5  0.267
  48.0  7.0  40  7.0  0.146
  38.0  4.0  35  6.0  0.198
  35.9  4.5  23  3.5  0.206
  40.4  5.9  33  4.9  0.118
  36.8  5.6  27  4.3  0.136
  45.2  4.8  34  8.0  0.225
  35.1  3.9  15  5.0  0.110
