  291.5    5.3   70.0    7.0   10.0
  277.9    5.3   83.0   10.0   20.0
   48.0    7.5   46.0   14.0    3.0
  213.4    6.2   51.0    7.0   20.0
  135.1    5.4   52.0   11.0    9.0
  150.0    5.8   45.0    9.0    4.0
  180.1    2.5   54.0    9.0   12.0
  295.8    5.4   70.0    6.0    8.0
   91.3    5.2   31.0    9.0    6.0
  116.7    3.7   46.0   10.0   11.0
  190.3    5.1   49.0    8.0    6.0
  155.3    6.0   60.0   12.0   10.0
  217.6    6.7   51.0    7.0    9.0
  236.5    6.1   55.0    7.0    9.0
  202.2    3.6   55.0    8.0    4.0
   64.7    5.8   24.0   10.0    8.0
  287.2    7.1   63.0    5.0   15.0
  128.0    6.8   30.0    8.0   10.0
  219.7    5.0   62.0    8.0    4.0
  272.9    6.9   75.0    8.0   17.0
  168.0    4.5   47.0    9.0   10.0
  269.1    6.2   67.0    8.0   17.0
  115.6    6.5   48.0   11.0   11.0
