   7.1  23   78  1.93  2.0326
   4.9  66   91  3.05  2.4086
   6.4  90   35  1.06  2.2177
   5.7  35   70  2.13  1.9078
   6.1  42   69  2.25  2.0035
   8.0  27   83  2.03  2.0945
   6.8  34   51  1.27  1.7652
   4.7  63   36  1.71  1.7925
   7.0  47   67  1.60  2.1292
   6.7  69   65  2.91  2.2295
   6.7  46   78  3.26  2.1524
   5.8  60   86  3.11  2.3188
   6.7  56   32  1.53  1.9039
   6.8  51   58  2.18  2.0508
   7.2  95   82  4.68  2.6525
   7.4  52   67  3.28  2.2053
   5.3  53   62  2.42  1.9246
   3.5  58   84  1.74  2.1541
   6.8  74   79  2.25  2.4970
   4.4  47   49  2.42  1.7237
   7.0  66  118  4.69  2.8339
   6.7  61   57  3.87  2.1282
   5.6  75  103  3.11  2.6884
   6.9  58   88  3.46  2.4284
   6.2  62   57  1.25  2.0261
   4.7  97   27  1.77  2.0843
   6.8  69   60  2.90  2.2826
   6.0  73   58  1.22  2.2073
   5.9  50   62  3.19  2.0443
   5.5  88   74  3.21  2.4863
   3.8  55   52  1.41  1.9037
   4.3  99   83  3.93  2.6647
   6.6  48   54  2.94  1.9071
   6.2  42   63  1.85  1.9093
   5.0  60  105  3.17  2.4389
   5.8  62   82  3.18  2.3343
   4.7  42   10  0.28  1.3379
   5.7  70   59  2.28  2.1996
   4.7  64   48  1.30  1.8795
   7.8  74   40  2.58  2.1504
   2.9  43   32  0.94  1.4330
   4.9  72   90  3.51  2.4381
   4.6  73   57  2.82  2.1075
   5.9  78   70  4.28  2.2843
   4.6  69   70  3.17  2.1615
   6.1  53   52  1.84  2.0558
   5.9  88   98  3.33  2.7249
   4.7  66   68  1.80  2.0520
  10.4  62   85  4.65  2.6810
   5.8  70   64  2.52  2.2604
   5.4  64   81  1.36  2.2553
   6.9  90   33  2.78  2.1745
   7.9  45   55  2.46  2.0224
   4.5  68   60  2.07  2.1413
