  48  50  51  2.3  0.134
  57  36  46  2.3  0.193
  66  40  48  2.2  0.070
  70  41  44  1.8  0.235
  89  28  43  1.8  0.204
  36  49  54  2.9  0.319
  46  42  50  2.2  0.060
  54  45  48  2.4  0.174
  26  52  62  2.9  0.339
  77  29  50  2.1  0.137
  89  29  48  2.4  0.245
  67  43  53  2.4  0.057
  47  38  55  2.2  0.230
  51  34  51  2.3  0.072
  57  53  54  2.2  0.313
  66  36  49  2.0  0.104
  79  33  56  2.5  0.209
  88  29  46  1.9  0.143
  60  33  49  2.1  0.078
  49  55  51  2.4  0.231
  77  29  52  2.3  0.158
  52  44  58  2.9  0.238
  60  43  50  2.3  0.059
