    3.1    5.5  105.0    2.9
    2.3    4.8  113.0    2.8
    3.0    4.7  118.0    3.1
    1.9    3.9  107.0    2.4
    2.5    4.5  110.0    3.0
    3.7    6.2  125.0    2.4
    3.4    6.0  115.0    3.5
    2.6    5.2  121.0    3.1
    2.8    4.7  117.0    3.1
    1.6    4.3  111.0    2.9
    2.0    4.9  123.0    3.2
    2.9    5.4  114.0    3.3
    2.3    5.0  120.0    3.4
    3.2    6.3  132.0    2.6
    1.8    4.6  122.0    3.0
    1.4    4.3  110.0    2.8
    2.0    5.0  119.0    3.3
    3.8    5.9  109.0    3.4
    2.2    4.1  116.0    2.6
    1.5    4.7  108.0    2.7
