   56.2   17.5    1.0
   42.5   12.5    1.0
   68.6   20.0    1.0
   54.8   16.0    1.0
   50.0   15.0    1.0
   47.5   14.7    1.0
   56.9   17.5    1.0
   34.0   12.3    1.0
   39.0   11.5    1.0
   31.2   10.0    2.0
   36.9   13.8    2.0
   41.0   15.0    2.0
   51.8   19.5    2.0
   48.0   17.0    2.0
   33.3   12.5    2.0
   38.0   14.5    2.0
   35.9   12.8    2.0
   32.0   12.0    2.0
   44.3   16.0    2.0
   29.0   10.0    2.0
   46.1   17.0    2.0
   30.0   10.8    2.0
   42.0   15.0    2.0
