   10.0      1      1      1
   18.0      1      1      2
   16.0      1      2      1
   25.0      1      2      2
   14.0      2      1      1
   19.0      2      1      2
   19.0      2      2      1
   22.0      2      2      2
   17.0      3      1      1
   18.0      3      1      2
   22.0      3      2      1
   27.0      3      2      2
    8.0      4      1      1
   12.0      4      1      2
   20.0      4      2      1
   23.0      4      2      2
   12.0      5      1      1
   14.0      5      1      2
   24.0      5      2      1
   29.0      5      2      2
   15.0      6      1      1
   20.0      6      1      2
   21.0      6      2      1
   22.0      6      2      2
