   76.0   81.0   53.0
   92.0   89.0   78.0
   85.0   84.0   66.0
   63.0   70.0   46.0
   50.0   48.0   38.0
   89.0   93.0   68.0
   35.0   29.0   20.0
   67.0   68.0   41.0
   94.0   98.0   77.0
   83.0   79.0   61.0
   24.0   28.0   12.0
   31.0   37.0   14.0
   42.0   36.0   17.0
   71.0   71.0   53.0
   87.0   89.0   71.0
   28.0   23.0    3.0
   36.0   36.0   12.0
   61.0   58.0   35.0
   74.0   70.0   47.0
   66.0   60.0   40.0
   81.0   86.0   66.0
   57.0   51.0   32.0
   49.0   52.0   28.0
   71.0   72.0   54.0
   70.0   66.0   55.0
   91.0   86.0   67.0
   95.0   91.0   78.0
   81.0   79.0   60.0
   40.0   38.0   15.0
   41.0   43.0   18.0
   88.0   91.0   72.0
   63.0   63.0   40.0
   59.0   54.0   34.0
   24.0   26.0   11.0
   96.0   91.0   79.0
   74.0   80.0   52.0
   30.0   38.0   14.0
   81.0   85.0   65.0
   96.0   92.0   78.0
   38.0   40.0   16.0
   52.0   46.0   35.0
   76.0   68.0   42.0
