   48.0   50.0   51.0    2.3
   57.0   36.0   46.0    2.3
   66.0   40.0   48.0    2.2
   70.0   41.0   44.0    1.8
   89.0   28.0   43.0    1.8
   36.0   49.0   54.0    2.9
   46.0   42.0   50.0    2.2
   54.0   45.0   48.0    2.4
   26.0   52.0   62.0    2.9
   77.0   29.0   50.0    2.1
   89.0   29.0   48.0    2.4
   67.0   43.0   53.0    2.4
   47.0   38.0   55.0    2.2
   51.0   34.0   51.0    2.3
   57.0   53.0   54.0    2.2
   66.0   36.0   49.0    2.0
   79.0   33.0   56.0    2.5
   88.0   29.0   46.0    1.9
   60.0   33.0   49.0    2.1
   49.0   55.0   51.0    2.4
   77.0   29.0   52.0    2.3
   52.0   44.0   58.0    2.9
   60.0   43.0   50.0    2.3
