   79.3    5.5   31.0   10.0    8.0
  200.1    2.5   55.0    8.0    6.0
  163.2    8.0   67.0   12.0    9.0
  200.1    3.0   50.0    7.0   16.0
  146.0    3.0   38.0    8.0   15.0
  177.7    2.9   71.0   12.0   17.0
   30.9    8.0   30.0   12.0    8.0
  291.9    9.0   56.0    5.0   10.0
  160.0    4.0   42.0    8.0    4.0
  339.4    6.5   73.0    5.0   16.0
  159.6    5.5   60.0   11.0    7.0
   86.3    5.0   44.0   12.0   12.0
  237.5    6.0   50.0    6.0    6.0
  107.2    5.0   39.0   10.0    4.0
  155.0    3.5   55.0   10.0    4.0
  291.4    8.0   70.0    6.0   14.0
  100.2    6.0   40.0   11.0    6.0
  135.8    4.0   50.0   11.0    8.0
  223.3    7.5   62.0    9.0   13.0
  195.0    7.0   59.0    9.0   11.0
   73.4    6.7   53.0   13.0    5.0
   47.7    6.1   38.0   13.0   10.0
  140.7    3.6   43.0    9.0   17.0
   93.5    4.2   26.0    8.0    3.0
  259.0    4.5   75.0    8.0   19.0
  331.2    5.6   71.0    4.0    9.0
