   58   7   5.11  0.091
  152  18  16.72  0.194
   41   5   3.20  0.131
   93  14   7.03  0.268
  101  11  10.98  0.149
   38   5   4.04  0.141
  203  23  22.07  0.429
   78   9   7.03  0.067
  117  16  10.62  0.135
   44   5   4.76  0.165
  121  17  11.02  0.179
  112  12   9.51  0.051
   50   6   3.79  0.110
   82  12   6.45  0.156
   48   8   4.60  0.095
  127  15  13.86  0.128
  140  17  13.03  0.097
  155  21  15.21  0.230
   39   6   3.64  0.112
   90  11   9.57  0.073
