  62  1  1  1
  48  1  1  2
  63  1  1  3
  69  1  1  5
  57  1  2  1
  45  1  2  2
  39  1  2  3
  54  1  2  4
  44  1  2  5
  59  1  3  1
  53  1  3  2
  67  1  3  3
  66  1  3  4
  47  1  3  5
  51  2  1  1
  57  2  1  2
  45  2  1  3
  50  2  1  4
  39  2  1  5
  58  2  2  2
  70  2  2  3
  51  2  2  5
  55  2  3  1
  58  2  3  2
  50  2  3  3
  69  2  3  4
  49  2  3  5
  59  3  1  1
  65  3  1  2
  55  3  1  3
  52  3  1  4
  70  3  1  5
  58  3  2  1
  63  3  2  2
  70  3  2  3
  53  3  2  4
  60  3  2  5
  47  3  3  1
  56  3  3  2
  51  3  3  3
  44  3  3  4
  50  3  3  5
