   97.0    7.0   12.0    3.0
   86.0    6.0   21.0    6.0
   78.0    5.0   38.0    2.0
   10.0    1.0   16.0    2.0
   75.0    5.0   25.0    3.0
   62.0    4.0   32.0    4.0
  101.0    7.0   18.0    5.0
   39.0    3.0   14.0    2.0
   53.0    4.0   12.0    3.0
   33.0    2.0   35.0    6.0
  118.0    8.0   20.0    5.0
   65.0    5.0    8.0    3.0
   25.0    2.0   15.0    5.0
   71.0    5.0   17.0    6.0
  105.0    7.0   28.0    3.0
   17.0    1.0   29.0    5.0
   49.0    4.0    9.0    3.0
   68.0    5.0   14.0    6.0
